Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Pontuação,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
9,82455,Zé Rafael,SAN,Meia,visitante,5.0,,,1.0,,4.0,,,,,,,,,,,,,,,
9,82627,Luiz Araújo,FLA,Atacante,mandante,2.6,1.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,
9,82766,Wellington Rato,VIT,Meia,visitante,-0.3,,,,1.0,,,,,,,,,,,,,,,,
9,82775,Lucas Ramon,MIR,Lateral,visitante,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,
9,83257,Gabriel,CRU,Atacante,mandante,0.0,,,,,,,,,,,,,,,,,,,,
9,83528,Léo Pereira,FLA,Zagueiro,mandante,5.0,,,,,,,1.0,,,,,,,,,,,,,
9,84042,Tiquinho Soares,SAN,Atacante,visitante,2.5,,2.0,,,1.0,,,,,,,,,,,,,,,
9,84263,Jemerson,GRE,Zagueiro,visitante,-1.6,,,1.0,2.0,,,,,,,,,,,,,,,,
9,84523,Romarinho,SPT,Atacante,visitante,0.0,,,,,,,,,,,,,,,,,,,,
9,84558,Lucas Romero,CRU,Meia,mandante,6.7,,2.0,,1.0,4.0,,,,,,,,,,,,,,,
9,84674,Lucas Evangelista,PAL,Meia,visitante,3.5,,1.0,,,2.0,,,,,,,,,,,,,,,
9,84816,Varela,FLA,Lateral,mandante,5.0,,,,,,,1.0,,,,,,,,,,,,,
9,84847,Luan Peres,SAN,Zagueiro,visitante,1.6,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
9,85004,Marcos Felipe,BAH,Goleiro,mandante,8.1,,,,,,,,,,,7.0,1.0,,,,,,,,
9,85034,Óscar Romero,INT,Meia,mandante,1.2,1.0,,,,,,,,,,,,,,,,,,,
9,85403,Danielzinho,MIR,Meia,visitante,3.0,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
9,85425,João Paulo,SAN,Goleiro,visitante,-1.0,,,1.0,,,,,,,,,,,,,,,,,
9,85856,Ricardo Ryller,VIT,Meia,visitante,1.5,1.0,,,4.0,1.0,,,,,,,,,,,,,,,
9,86292,Bolasie,CRU,Atacante,mandante,1.2,,,,1.0,1.0,,,,,,,,,,,,,,,
9,86686,Tchê Tchê,VAS,Meia,mandante,1.0,,2.0,,,,,,,,,,,,,,,,,,
9,86757,Everton,FLA,Atacante,mandante,0.4,,,,1.0,,1.0,,,,1.0,,,,,,,,,,
9,86766,Matheus Rossetto,FOR,Meia,visitante,0.0,,,,,,,,,,,,,,,,,,,,
9,86777,Danilo Barbosa,BOT,Meia,visitante,0.0,,,,,,,,,,,,,,,,,,,,
9,86820,Reginaldo,JUV,Lateral,mandante,-0.5,,1.0,1.0,,,,,,,,,,,,,,,,,
9,87008,Léo Jardim,VAS,Goleiro,mandante,8.9,,,,,,,1.0,,,,3.0,,,,,,,,,
9,87225,Pedro Henrique,RBB,Zagueiro,mandante,0.7,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
9,87228,Guilherme Arana,CAM,Lateral,visitante,7.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,
9,87258,Soteldo,SAN,Atacante,visitante,1.5,,,,,1.0,,,,,,,,,,,,,,,
9,87470,Thaciano,SAN,Meia,visitante,1.5,,,,,1.0,,,,,,,,,,,,,,,
9,87742,Neto Moura,MIR,Meia,visitante,8.4,,,,2.0,6.0,,,,,,,,,,,,,,,
9,87747,Yago Felipe,MIR,Meia,visitante,0.5,,1.0,,,,,,,,,,,,,,,,,,
9,87853,Mauricio Lemos,VAS,Zagueiro,mandante,6.5,,,,,1.0,,1.0,,,,,,,,,,,,,
9,87999,Gustavo Scarpa,CAM,Meia,visitante,2.3,,3.0,,,,1.0,,,,,,,,,,,,,,
9,88312,Junior Alonso,CAM,Zagueiro,visitante,3.4,,,1.0,2.0,,,1.0,,,,,,,,,,,,,
9,88323,Ángel Romero,COR,Atacante,mandante,0.5,,1.0,,,,,,,,,,,,,,,,,,
9,88963,Leonardo Jardim,CRU,Técnico,mandante,6.66,,,,,,,,,,,,,,,,,,,,
9,89273,João Pedro,GRE,Lateral,visitante,0.0,,,,,,,,,,,,,,,,,,,,
9,89275,William,CRU,Lateral,mandante,4.4,,,,2.0,,,1.0,,,,,,,,,,,,,
9,89368,Braithwaite,GRE,Atacante,visitante,0.2,,1.0,,1.0,,,,,,,,,,,,,,,,
9,89637,Thiago Maia,INT,Meia,mandante,1.5,,,,,1.0,,,,,,,,,,,,,,,
9,89695,Iury Castilho,MIR,Atacante,visitante,5.4,1.0,,,1.0,3.0,,,,,,,,,,,,,,,
9,89883,Dodi,GRE,Meia,visitante,-1.1,,1.0,1.0,2.0,,,,,,,,,,,,,,,,
